Parcel,Property Address,Community Area,Type,Class,Land Code,Land Use,Acreage,Zoning,Bldg Count,Yr Blt,Improvement Use,Imp Area,Reception Number,Sale Date,Sale Price,Parcels Sold,Assessor Sale Comment
5309205015,8153 FOXTAIL PINE PL,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,PUD AO,1,2013,FRAME GOOD QUALITY,"1,055",214100200,10/31/14,"319,900",1,Good sale; verified
5309207003,7391 MOUNTAIN SPRUCE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.17,PUD AO, , , , ,214088353,9/29/14,"359,676",1,Good sale; verified
5309207007,8142 FOXTAIL PINE PL,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.17,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309208005,8215 BIRCH TREE LOOP,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.13,PUD AO, , , , ,214075398,8/19/14,"311,989",1,Good sale; verified
5309208009,8255 BIRCH TREE LOOP,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.15,PUD AO, , , , ,214077947,8/27/14,"50,000",1,Good sale; verified; Vacant land
5309209001,7163 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,PUD AO,1,2012,FRAME AVERAGE QUALITY,"1,590",214100449,10/31/14,"1,081,348",3,Multiple properties
5309209002,7173 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,PUD AO,1,2012,FRAME AVERAGE QUALITY,"1,924",214081963,9/9/14,"464,900",1,Good sale; verified
5309209003,7183 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,PUD AO,1,2012,FRAME AVERAGE QUALITY,"1,650",214091836,10/8/14,"369,988",1,Good sale; verified
5309303069,8216 MAHOGANY WOOD CT,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,PUD AO,1,2010,FRAME AVERAGE QUALITY,846,214072283,8/11/14,"269,900",1,Good sale; verified
5309303074,8287 LOGANBERRY CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.13,PUD AO, , , , ,214079157,8/29/14,"310,034",1,Good sale; verified
5309303094,8396 MAHOGANY WOOD CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.11,PUD AO, , , , ,214080252,9/3/14,"255,308",1,Good sale; verified
5309304017,6858 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.15,PUD AO, , , , ,214088590,9/29/14,"287,450",1,Good sale; verified
5309306022,7651 BUCKEYE TREE LN,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.09,PUD AO,1,2008,FRAME AVERAGE QUALITY,869,214087475,9/25/14,"269,000",1,Good sale; verified
5309306074,6472 FOREST THORN CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.14,PUD AO, , , , ,214094152,10/14/14,"313,030",1,Good sale; verified
5309306076,6583 BRAMBLE BEND CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.15,PUD AO, , , , ,214080267,9/3/14,"376,777",1,Good sale; verified
5309306080,6551 BRAMBLE BEND CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.26,PUD AO, , , , ,214090125,10/2/14,"409,696",1,Good sale; verified
5309306084,6519 BRAMBLE BEND CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.18,PUD AO, , , , ,214073922,8/15/14,"414,193",1,Good sale; verified
5309306089,6568 MYRTLE CREEK DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.14,PUD AO, , , , ,214085478,9/19/14,"324,900",1,Good sale; verified
5309306090,6580 MYRTLE CREEK DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.16,PUD AO, , , , ,214083795,9/15/14,"383,630",1,Good sale; verified
5309307014,7024 PEAR LEAF CT,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,PUD AO,1,2013,FRAME AVERAGE QUALITY,"1,084",214081250,9/5/14,"297,000",1,Good sale; verified
5309307016,7004 PEAR LEAF CT,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,PUD AO,1,2013,FRAME AVERAGE QUALITY,"1,519",214080814,9/4/14,"287,500",1,Good sale; verified
5309307019,8066 FALLGOLD CT,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,PUD AO,1,2010,FRAME AVERAGE QUALITY,"1,519",214089206,9/30/14,"200,000",1,Good sale; verified; Estate Sale
5309307031,8057 BRIARTHORN LN,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,PUD AO,1,2013,FRAME AVERAGE QUALITY,904,214070315,8/5/14,"265,000",1,Good sale; verified
5309307048,8047 FALLGOLD CT,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,PUD AO,1,2011,FRAME AVERAGE QUALITY,"1,092",214093586,10/14/14,"182,500",1,"REO,Gvmt,FinInst,Short,PreFC"
5309307055,8043 BUCKEYE TREE LN,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,PUD AO,1,2012,FRAME AVERAGE QUALITY,"1,789",214078384,8/28/14,"315,000",1,Good sale; verified
5309313034,6591 MYRTLE CREEK DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.18,PUD AO, , , , ,214080694,9/4/14,"382,913",1,Good sale; verified
5309313035,6579 MYRTLE CREEK DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.21,PUD AO, , , , ,214083303,9/12/14,"376,242",1,Good sale; verified
5309313038,6543 MYRTLE CREEK DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.21,PUD AO, , , , ,214095910,10/20/14,"427,535",1,Good sale; verified
5309313040,6504 FOREST THORN CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.17,PUD AO, , , , ,214088399,9/29/14,"319,402",1,Good sale; verified
5309313047,6535 FOREST THORN CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.14,PUD AO, , , , ,214082490,9/10/14,"305,006",1,Good sale; verified
5309314005,8371 MAHOGANY WOOD CT,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.09,PUD AO, , , , ,214081887,9/9/14,"246,908",1,Good sale; verified
5309316040,8365 PLUMWOOD CIR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.08,PUD AO, , , , ,214090978,10/6/14,"222,688",1,Good sale; verified
5309316045,8243 LONGLEAF LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.08,PUD AO, , , , ,214098590,10/27/14,"246,352",1,Good sale; verified
5309316050,8273 LONGLEAF LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.08,PUD AO, , , , ,214094653,10/16/14,"394,000",11,Multiple properties; Vacant land
5309317014,6570 ROCK ELM LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.09,PUD AO, , , , ,214098183,10/27/14,"237,325",1,Good sale; verified
5309317016,6530 ROCK ELM LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.08,PUD AO, , , , ,214085735,9/19/14,"254,623",1,Good sale; verified
5309317017,8284 LONGLEAF LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.07,PUD AO, , , , ,214091610,10/7/14,"255,731",1,Good sale; verified
5309317018,8290 LONGLEAF LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.09,PUD AO, , , , ,214090113,10/2/14,"249,516",1,Good sale; verified
5309318006,8301 COLORADO SPRUCE LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.09,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309401004,6848 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.17,PUD AO, , , , ,214078902,8/29/14,"290,583",1,Good sale; verified
5309401005,6838 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.15,PUD AO, , , , ,214084549,9/16/14,"279,917",1,Good sale; verified
5309402035,6715 HAZEL BRANCH CT,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.09,PUD AO,1,2013,FRAME AVERAGE QUALITY,920,214095453,10/17/14,"255,000",1,Good sale; verified
5309405009,6687 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11,PUD AO,1,2010,FRAME AVERAGE QUALITY,908,214083541,9/12/14,"258,000",1,Good sale; verified
5309407001,6532 SUGARBERRY LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.11,PUD AO, , , , ,214094653,10/16/14,"394,000",11,Multiple properties; Vacant land
5309407002,6518 SUGARBERRY LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.09,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309407003,6504 SUGARBERRY LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.11,PUD AO, , , , ,214094653,10/16/14,"394,000",11,Multiple properties; Vacant land
5309407023,8379 COLORADO SPRUCE LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.09,PUD AO, , , , ,214094653,10/16/14,"394,000",11,Multiple properties; Vacant land
5309407024,8385 COLORADO SPRUCE LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.09,PUD AO, , , , ,214094653,10/16/14,"394,000",11,Multiple properties; Vacant land
5309407027,8320 LONGLEAF LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.07,PUD AO, , , , ,214094653,10/16/14,"394,000",11,Multiple properties; Vacant land
5309407028,8326 LONGLEAF LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.07,PUD AO, , , , ,214094653,10/16/14,"394,000",11,Multiple properties; Vacant land
5309407034,8331 COLORADO SPRUCE LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.07,PUD AO, , , , ,214072570,8/12/14,"255,139",1,Good sale; verified
5309407035,8325 COLORADO SPRUCE LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.07,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309408001,6598 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.12,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309408002,6588 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.10,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309408003,6578 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.10,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309408006,6548 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.10,PUD AO, , , , ,214094653,10/16/14,"394,000",11,Multiple properties; Vacant land
5309408007,6538 COTTONWOOD TREE DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.11,PUD AO, , , , ,214091764,10/7/14,"290,821",1,Good sale; verified
5309408008,6503 SUGARBERRY LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.11,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309408011,6545 SUGARBERRY LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.10,PUD AO, , , , ,214098173,10/27/14,"266,173",1,Good sale; verified
5309408012,6559 SUGARBERRY LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.10,PUD AO, , , , ,214090931,10/6/14,"252,030",1,Good sale; verified
5309408013,6573 SUGARBERRY LN,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.10,PUD AO, , , , ,214079689,9/2/14,"308,000",9,Multiple properties; Vacant land
5309409001,8664 MEADOW TREE TRL,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.14, , , , , ,214075705,8/20/14,"1,260,000",18,Multiple properties; Vacant land
5309409002,8674 MEADOW TREE TRL,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.14, , , , , ,214075705,8/20/14,"1,260,000",18,Multiple properties; Vacant land
5309409008,6913 TAHOE RIM DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.15, , , , , ,214092051,10/8/14,"394,563",1,Good sale; verified
5309409011,6943 TAHOE RIM DR,BANNING LEWIS RANCH,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.15, , , , , ,214075705,8/20/14,"1,260,000",18,Multiple properties; Vacant land
5311101008,10778 MALTESE PT,EASTERN EL PASO COUNTY,NON-RESIDENTIAL,Commercial,2130,SPECIAL PURPOSE,1.05,PUD,1,2009,SERVICE GARAGE,"9,882",214070446,8/5/14,"1,200,000",1,Other
5312202008,7494 ANTELOPE MEADOWS CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.51,PUD,1,2008,FRAME AVERAGE QUALITY,"1,798",214097017,10/22/14,"315,000",1,Good sale; verified
5312203008,7815 ANTELOPE MEADOWS CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.29,PUD,1,2007,FRAME AVERAGE QUALITY,988,214091822,10/8/14,"244,000",1,Good sale; verified
5312204028,7170 HONEYCOMB DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.28,PUD, , , , ,214084943,9/17/14,"303,890",1,Good sale; verified
5312204030,7146 HONEYCOMB DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.28,PUD, , , , ,214088036,9/26/14,"221,790",1,Good sale; verified
5312210002,7171 HONEYCOMB DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.25,PUD, , , , ,214092213,10/8/14,"278,775",1,Good sale; verified
5312210007,10944 QUINCY MARR DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.27,PUD, , , , ,214071046,8/7/14,"266,566",1,Good sale; verified
5312211009,7086 HONEYCOMB DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.26,PUD, , , , ,214097817,10/24/14,"271,180",1,Good sale; verified
5312211010,7098 HONEYCOMB DR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.28,PUD, , , , ,214069092,8/1/14,"319,075",1,Good sale; verified
5312216008,11110 SPOTSWOOD TER,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.50,PUD,1,2010,FRAME AVERAGE QUALITY,"2,042",214095483,10/17/14,"365,900",1,Good sale; verified
5312301011,10858 HIDDEN RIDGE CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.26,PUD,1,2013,FRAME GOOD QUALITY,982,214074524,8/18/14,"294,000",1,Good sale; verified
5312304009,10930 HIDDEN RIDGE CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.25,PUD,1,2008,FRAME AVERAGE QUALITY,"2,746",214080005,9/3/14,"382,500",1,Good sale; verified
5312305001,10946 CASCADING SPRING CIR,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.21,PUD, , , , ,214086340,9/23/14,"311,500",1,Good sale; verified
5312305012,6868 HIDDEN HAVEN WAY,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,PUD,1,2013,FRAME GOOD QUALITY,958,214071824,8/8/14,"309,900",1,Good sale; verified
5313000016,GARRETT RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,1.89,RR-5,2,2002,FRAME AVERAGE QUALITY,"1,526",214083292,9/12/14,"143,000",1,Good sale; verified
5316000020,6345 LUTHER RD,TOY RANCHES,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,5.00,RR-5,1,1999,FRAME AVERAGE QUALITY,"1,939",214080451,9/3/14,"368,000",1,Good sale; verified
5316003006,6085 LA COSTA RD,TOY RANCHES,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,10.00,RR-5,1,1998,FRAME AVERAGE QUALITY,"2,128",214077035,8/25/14,"230,000",1,Good sale; verified
5317101007,7324 WRANGLER RIDGE DR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,R1-6 DF AO,1,2010,FRAME AVERAGE QUALITY,914,214085355,9/18/14,"273,500",1,Good sale; verified
5317101013,6284 CANYON CREST LOOP,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 DF AO,1,2006,FRAME AVERAGE QUALITY,"1,325",214074047,8/15/14,"284,500",1,Good sale; verified
5317101019,6242 CANYON CREST LOOP,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6 DF AO,1,2005,FRAME AVERAGE QUALITY,"1,628",214074587,8/18/14,"358,000",1,Good sale; verified
5317101025,7147 INDIAN RIVER DR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6 DF AO,1,2007,FRAME AVERAGE QUALITY,"1,590",214091719,10/7/14,"329,900",1,Good sale; verified
5317102026,6384 SHOOTING IRON WAY,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6 DF AO,1,2008,FRAME AVERAGE QUALITY,"1,581",214099879,10/30/14,"330,000",1,Good sale; verified
5317103019,6368 BUTCH CASSIDY BLVD,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6 DF AO,1,2007,FRAME AVERAGE QUALITY,"1,369",214072832,8/12/14,"390,000",1,Good sale; verified
5317116001,7606 DERRINGER PT,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.08,PUD AO,1,2007,TOWNHOUSE,"1,533",214091528,10/7/14,"293,000",1,Good sale; verified
5317116009,7670 DERRINGER PT,STETSON HILLS,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.08,PUD AO, , , , ,214069328,8/1/14,"257,599",1,Good sale; verified
5317116013,7693 DERRINGER PT,STETSON HILLS,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.08,PUD AO, , , , ,214099401,10/29/14,"332,263",1,Good sale; verified
5317116017,7656 DOUBLE BARREL HTS,STETSON HILLS,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.08,PUD AO, , , , ,214088744,9/29/14,"287,048",1,Good sale; verified
5317116018,7662 DOUBLE BARREL HTS,STETSON HILLS,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.08,PUD AO, , , , ,214090960,10/6/14,"295,632",1,Good sale; verified
5317116019,7668 DOUBLE BARREL HTS,STETSON HILLS,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.07,PUD AO, , , , ,214084981,9/17/14,"273,477",1,Good sale; verified
5317116024,7657 DOUBLE BARREL HTS,STETSON HILLS,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.07,PUD AO, , , , ,214097115,10/22/14,"254,240",1,Good sale; verified
5317116028,7678 MATCHLOCK HTS,STETSON HILLS,RESIDENTIAL,Vacant,101,CODE 100 AT PRESENT WORTH,0.07,PUD AO, , , , ,214092059,10/8/14,"237,925",1,Good sale; verified
5317116135,7665 WRANGLER RIDGE DR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.22,PUD AO,1,2011,FRAME AVERAGE QUALITY,"1,581",214075237,8/19/14,"340,000",1,Good sale; verified
5317117001,7604 WRANGLER RIDGE DR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,PUD AO,1,2010,FRAME AVERAGE QUALITY,"1,590",214076800,8/25/14,"349,000",1,Good sale; verified
5317200025,DUBLIN BLVD,STETSON HILLS,RESIDENTIAL,Exempt,9149,POLITICAL SUBDIVISION,0.99,A AO SS, , , , ,214081209,9/5/14,"10,250,778",2,Multiple properties; Exempt or Partially Exempt
5317204013,6747 WINDOM PEAK BLVD,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,PUD AO,1,2004,FRAME GOOD QUALITY,"2,074",214078926,8/29/14,"345,000",1,Good sale; verified
5317207001,6584 BALANCE CIR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6 DF AO,1,2004,FRAME AVERAGE QUALITY,767,214095390,10/17/14,"209,500",1,Good sale; verified
5317208003,6122 MOUNTAIN BROOK ST,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,PUD AO,1,2005,FRAME AVERAGE QUALITY,"1,320",214070195,8/5/14,"285,900",1,Good sale; verified
5317210001,7007 QUIET POND PL,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,PUD SS AO,1,2004,FRAME GOOD QUALITY,"2,074",214084089,9/15/14,"310,000",1,Good sale; verified
5317210101,7053 RED SAND GRV,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.03,PUD AO SS,1,2008,TOWNHOUSE,579,214096474,10/21/14,"161,500",1,Good sale; verified
5317210101,7053 RED SAND GRV,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.03,PUD AO SS,1,2008,TOWNHOUSE,579,214075629,8/20/14,10,1,"REO,Gvmt,FinInst,Short,PreFC"
5317210170,6338 SAND BAR PT,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.04,PUD AO,1,2006,TOWNHOUSE,636,214070920,8/7/14,"164,000",1,Good sale; verified
5317210222,6332 GUNSLINGER DR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.23,PUD AO SS,1,2008,FRAME AVERAGE QUALITY,908,214080756,9/4/14,"327,000",1,Good sale; verified; Estate Sale
5317210232,6910 WILLS DR,STETSON HILLS,NON-RESIDENTIAL,Commercial,2130,SPECIAL PURPOSE,2.17,OC DF AO,1,2008,DAYCARE CENTER,"17,426",214069046,8/1/14,"2,663,738",1,Other
5317216017,6084 HIGH NOON AVE,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,PUD AO,1,2008,FRAME AVERAGE QUALITY,"1,801",214071409,8/8/14,"367,500",1,Relocation Sale
5317216017,6084 HIGH NOON AVE,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,PUD AO,1,2008,FRAME AVERAGE QUALITY,"1,801",214071410,8/8/14,"367,500",1,Relocation Sale
5317219006,5963 HIGH NOON AVE,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,PUD AO,1,2006,FRAME AVERAGE QUALITY,"1,280",214076492,8/22/14,"360,000",1,Good sale; verified
5317220027,6464 PETERSON RD,STETSON HILLS,RESIDENTIAL,Exempt,9149,POLITICAL SUBDIVISION,5.60,A SS AO,1,2008,EXEMPT POLITICAL SUBS/PUB SCHL,"48,363",214081209,9/5/14,"10,250,778",2,Multiple properties; Exempt or Partially Exempt
5317301021,6457 SUMMER GRACE ST,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,PUD SS AO,1,2003,FRAME AVERAGE QUALITY,"1,005",214076868,8/25/14,"261,500",1,Good sale; verified
5317301034,6795 AKERMAN DR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,PUD AO SS,1,2003,FRAME AVERAGE QUALITY,929,214082551,9/10/14,"225,000",1,Good sale; verified
5317310004,5631 BRENNAN AVE,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.29,R1-6 DF AO,1,2002,FRAME AVERAGE QUALITY,"1,651",214078678,8/29/14,"315,250",1,Good sale; verified
5317313007,5819 WILD BILL WAY,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,PUD AO,1,2005,FRAME AVERAGE QUALITY,"1,120",214092073,10/8/14,"324,000",1,Good sale; verified
5317314003,5821 WHISKEY RIVER DR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,PUD AO,1,2005,FRAME AVERAGE QUALITY,"1,590",214093906,10/14/14,"318,000",1,Good sale; verified
5317320004,5536 CALAMITY JANE LN,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,PUD AO,1,2003,FRAME GOOD QUALITY,"1,109",214078285,8/28/14,"296,000",1,Good sale; verified
5317322006,5533 WHISKEY RIVER DR,STETSON HILLS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.20,PUD AO,1,2003,FRAME GOOD QUALITY,"1,590",214079861,9/2/14,"338,900",1,Good sale; verified
